country,vaccine,multilateral_agreement,donations,covax,unknown,total
Lithuania,Pfizer BioNTech - Comirnaty,"2,911,939",(Blank),(Blank),(Blank),"2,911,939"
Lithuania,AstraZeneca - Vaxzevria,"759,143",(Blank),(Blank),(Blank),"759,143"
Lithuania,Moderna - mRNA-1273,"351,445",(Blank),(Blank),(Blank),"351,445"
Lithuania,Janssen - Ad26.COV 2.S,"97,020",(Blank),(Blank),(Blank),"97,020"
Viet Nam,AstraZeneca - Vaxzevria,"117,600","1,000,000","2,493,600",(Blank),"3,611,200"
Viet Nam,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"500,000",(Blank),(Blank),"500,000"
Bolivia (Plurinational State of),Unknown,(Blank),(Blank),(Blank),"1,171,344","1,171,344"
Bolivia (Plurinational State of),Sinopharm (Beijing) - BBIBP-CorV,"831,200","200,000",(Blank),(Blank),"1,031,200"
Bolivia (Plurinational State of),Janssen - Ad26.COV 2.S,(Blank),(Blank),"1,008,000",(Blank),"1,008,000"
Bolivia (Plurinational State of),Gamaleya - Sputnik V,"445,000",(Blank),(Blank),(Blank),"445,000"
Bolivia (Plurinational State of),SII - Covishield,(Blank),(Blank),"228,000",(Blank),"228,000"
Bolivia (Plurinational State of),Pfizer BioNTech - Comirnaty,(Blank),(Blank),"193,050",(Blank),"193,050"
Mongolia,Unknown,(Blank),(Blank),(Blank),"2,440,617","2,440,617"
Mongolia,Sinopharm (Beijing) - BBIBP-CorV,"916,800","300,000",(Blank),(Blank),"1,216,800"
Mongolia,SII - Covishield,(Blank),"150,000",(Blank),(Blank),"150,000"
Mongolia,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"126,360",(Blank),"126,360"
Mongolia,AstraZeneca - Vaxzevria,(Blank),(Blank),"112,800",(Blank),"112,800"
Mongolia,Gamaleya - Sputnik V,"20,000",(Blank),(Blank),(Blank),"20,000"
Nepal,SII - Covishield,"1,000,000","1,100,000","348,000",(Blank),"2,448,000"
Nepal,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"1,600,000",(Blank),(Blank),"1,600,000"
"China, Hong Kong SAR",Unknown,(Blank),(Blank),(Blank),"4,026,041","4,026,041"
Croatia,Pfizer BioNTech - Comirnaty,"2,300,220",(Blank),(Blank),(Blank),"2,300,220"
Croatia,AstraZeneca - Vaxzevria,"951,700",(Blank),(Blank),(Blank),"951,700"
Croatia,Moderna - mRNA-1273,"457,200",(Blank),(Blank),(Blank),"457,200"
Croatia,Janssen - Ad26.COV 2.S,"95,950",(Blank),(Blank),(Blank),"95,950"
Algeria,Unknown,(Blank),(Blank),(Blank),"1,450,000","1,450,000"
Algeria,AstraZeneca - Vaxzevria,(Blank),(Blank),"1,123,200",(Blank),"1,123,200"
Algeria,Sinovac - CoronaVac,"500,000",(Blank),(Blank),(Blank),"500,000"
Algeria,Gamaleya - Sputnik V,"300,000",(Blank),(Blank),(Blank),"300,000"
Algeria,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"200,000",(Blank),(Blank),"200,000"
